n_hid,inp_scaling,rho,leaky,regul,lag,bias_scaling,solver,washout,feedback_size,n_layers,neighbour_size,NRMSE_mean,NRMSE_std
128,0.8,0.9,0.1,0.05,1,,,200,1,1,0,0.0150415692478418,0.0
128,0.8,0.9,0.1,0.05,1,,,200,64,1,0,0.0092217624187469,0.0
128,0.8,0.9,0.1,0.05,1,,,200,128,1,0,0.0059087029658257,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,1,0,0.009117217734456,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,1.6031181812286377,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,7.867762088775635,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.3590355515480041,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.1649437695741653,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.0643117502331733,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.0048860753886401,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,1,0,0.0108477212488651,0.0
128,0.8,0.9,0.1,0.05,1,,,200,128,1,0,0.0324279069900512,0.0
128,0.8,0.9,0.1,0.05,1,,,200,128,1,0,0.020346276462078,0.0
128,0.8,0.9,0.1,0.05,1,,,200,128,1,0,0.0085041830316185,0.0
128,0.8,0.9,0.1,0.05,1,,,200,128,1,0,0.0109175965189933,0.0
128,0.8,0.9,0.1,0.05,1,,,200,128,1,0,0.0120227513834834,0.0
128,0.8,0.9,0.1,0.05,1,,,200,128,1,0,0.0062307841144502,0.0
128,0.8,0.9,0.1,0.05,1,,,200,128,1,0,0.0090746004134416,0.0
128,0.8,0.9,0.1,0.05,1,,,200,128,1,0,0.0080269714817404,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.3039367198944092,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.3265288174152374,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.237432986497879,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.4951734244823456,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.3242415487766266,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.4254557490348816,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.827564537525177,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.8127360343933105,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.7443711161613464,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,1,0,0.0117263840511441,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,1,0,0.0048553817905485,0.0
128,0.8,0.9,0.1,0.05,1,,,200,64,1,0,0.0086944950744509,0.0
128,0.8,0.9,0.1,0.05,1,,,200,128,1,0,0.0536759197711944,0.0
128,0.8,0.9,0.1,0.05,1,,,200,100,1,0,0.0174559745937585,0.0
128,0.8,0.9,0.1,0.05,1,,,200,80,1,0,0.0205763150006532,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,0,0.0093588111922144,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.0434014722704887,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.0660615116357803,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.03021760657429695,0.0
