n_hid,inp_scaling,rho,leaky,regul,lag,bias_scaling,solver,washout,n_layers,NRMSE_mean,NRMSE_std
256,0.8,0.8,0.01,0.0001,1,,,200,1,14.430477142333984,0.0
256,0.9,0.8,0.01,0.0001,1,,,200,1,15.61559772491455,0.0
256,1.0,0.8,0.01,0.0001,1,,,200,1,14.909829139709473,0.0
4,0.1,0.8,0.01,0.001,1,,,200,1,8.494767189025879,0.0
4,0.2,0.8,0.01,0.001,1,,,200,1,14.107686042785645,0.0
4,0.3,0.8,0.01,0.001,1,,,200,1,7.950723648071289,0.0
4,0.4,0.8,0.01,0.001,1,,,200,1,1.9747759103775024,0.0
4,0.5,0.8,0.01,0.001,1,,,200,1,1.463971495628357,0.0
4,0.6,0.8,0.01,0.001,1,,,200,1,1.2784446477890017,0.0
4,0.7,0.8,0.01,0.001,1,,,200,1,1.2057374715805054,0.0
4,0.8,0.8,0.01,0.001,1,,,200,1,1.2745152711868286,0.0
4,0.9,0.8,0.01,0.001,1,,,200,1,3.917303562164306,0.0
4,1.0,0.8,0.01,0.001,1,,,200,1,4.123779773712158,0.0
8,0.1,0.8,0.01,0.001,1,,,200,1,3.570228099822998,0.0
8,0.2,0.8,0.01,0.001,1,,,200,1,3.274048328399658,0.0
8,0.3,0.8,0.01,0.001,1,,,200,1,5.902486324310303,0.0
8,0.4,0.8,0.01,0.001,1,,,200,1,3.856689453125,0.0
8,0.5,0.8,0.01,0.001,1,,,200,1,4.013115882873535,0.0
8,0.6,0.8,0.01,0.001,1,,,200,1,5.888274669647217,0.0
8,0.7,0.8,0.01,0.001,1,,,200,1,4.984936237335205,0.0
8,0.8,0.8,0.01,0.001,1,,,200,1,4.31224250793457,0.0
8,0.9,0.8,0.01,0.001,1,,,200,1,3.799980401992798,0.0
8,1.0,0.8,0.01,0.001,1,,,200,1,3.400458812713623,0.0
16,0.1,0.8,0.01,0.001,1,,,200,1,139.89083862304688,0.0
16,0.2,0.8,0.01,0.001,1,,,200,1,21.473539352416992,0.0
16,0.3,0.8,0.01,0.001,1,,,200,1,12.234299659729004,0.0
16,0.4,0.8,0.01,0.001,1,,,200,1,4.446727275848389,0.0
16,0.5,0.8,0.01,0.001,1,,,200,1,4.710586071014404,0.0
16,0.6,0.8,0.01,0.001,1,,,200,1,7.556881427764893,0.0
16,0.7,0.8,0.01,0.001,1,,,200,1,5.6709771156311035,0.0
16,0.8,0.8,0.01,0.001,1,,,200,1,5.650503635406494,0.0
16,0.9,0.8,0.01,0.001,1,,,200,1,6.5444254875183105,0.0
16,1.0,0.8,0.01,0.001,1,,,200,1,3.7938671112060542,0.0
32,0.1,0.8,0.01,0.001,1,,,200,1,38.96485900878906,0.0
32,0.2,0.8,0.01,0.001,1,,,200,1,17.37355613708496,0.0
32,0.3,0.8,0.01,0.001,1,,,200,1,15.09743309020996,0.0
32,0.4,0.8,0.01,0.001,1,,,200,1,5.862493515014648,0.0
32,0.5,0.8,0.01,0.001,1,,,200,1,12.102947235107422,0.0
32,0.6,0.8,0.01,0.001,1,,,200,1,12.474166870117188,0.0
32,0.7,0.8,0.01,0.001,1,,,200,1,12.018942832946776,0.0
32,0.8,0.8,0.01,0.001,1,,,200,1,3.82638955116272,0.0
32,0.9,0.8,0.01,0.001,1,,,200,1,6.27444314956665,0.0
32,1.0,0.8,0.01,0.001,1,,,200,1,6.765968322753906,0.0
64,0.1,0.8,0.01,0.001,1,,,200,1,27.01303482055664,0.0
64,0.2,0.8,0.01,0.001,1,,,200,1,23.904953002929688,0.0
64,0.3,0.8,0.01,0.001,1,,,200,1,12.845224380493164,0.0
64,0.4,0.8,0.01,0.001,1,,,200,1,26.93545913696289,0.0
64,0.5,0.8,0.01,0.001,1,,,200,1,6.850372791290283,0.0
64,0.6,0.8,0.01,0.001,1,,,200,1,12.896621704101562,0.0
64,0.7,0.8,0.01,0.001,1,,,200,1,9.198158264160156,0.0
